id,name,symbol,slug,date_added,price
45,CasinoCoin,CSC,casinocoin,2018-01-16T00:00:00.000Z,0.000676454276444
2243,Dragonchain,DRGN,dragonchain,2017-12-03T00:00:00.000Z,0.0751860932381
3224,Qubitica,QBIT,qubitica,2018-08-28T00:00:00.000Z,32.5783397294
4281,BHEX Token,BHT,bhex-token,2019-08-25T00:00:00.000Z,0.134171875738
2530,Fusion,FSN,fusion,2018-02-16T00:00:00.000Z,0.566837023265
2457,TrueChain,TRUE,truechain,2018-01-24T00:00:00.000Z,0.326312031416
5865,FIO Protocol,FIO,fio-protocol,2020-07-19T00:00:00.000Z,0.288393043082
3978,Chromia,CHR,chromia,2019-05-28T00:00:00.000Z,0.0640384022856
4191,NOIA Network,NOIA,noia-network,2019-07-31T00:00:00.000Z,0.084935421488
2588,Loom Network,LOOM,loom-network,2018-03-14T00:00:00.000Z,0.0262966772539
3916,ThoreNext,THX,thorenext,2019-05-17T00:00:00.000Z,1.16887690463
1681,PRIZM,PZM,prizm,2017-05-19T00:00:00.000Z,0.0127230094794
5084,PlayFuel,PLF,playfuel,2019-12-30T00:00:00.000Z,0.0493531493112
2044,Enigma,ENG,enigma,2017-10-13T00:00:00.000Z,0.327975539087
1908,Nebulas,NAS,nebulas-token,2017-08-23T00:00:00.000Z,0.47098122226
3376,Darico Ecosystem Coin,DEC,darcio-ecosystem-coin,2018-10-11T00:00:00.000Z,0.387977388839
2369,Insolar,XNS,insolar,2018-01-11T00:00:00.000Z,0.60930132684
2324,BigONE Token,ONE,bigone-token,2017-12-30T00:00:00.000Z,0.00256823272114
3367,CryptalDash,CRD,cryptaldash,2018-10-02T00:00:00.000Z,0.0240501534317
4041,MX Token,MX,mx-token,2019-09-24T00:00:00.000Z,0.138597114052
4280,12Ships,TSHP,12ships,2019-08-26T00:00:00.000Z,0.0047935006408
1004,Hellenic Coin,HNC,helleniccoin,2015-07-21T00:00:00.000Z,0.327037554018
2927,sUSD,SUSD,susd,2018-07-13T00:00:00.000Z,1.01068068379
2363,Zap,ZAP,zap,2018-01-11T00:00:00.000Z,0.172616527261
2896,Mainframe,MFT,mainframe,2018-07-05T00:00:00.000Z,0.00240998372015
1788,Metal,MTL,metal,2017-07-09T00:00:00.000Z,0.344462260376
2496,Polymath,POLY,polymath-network,2018-02-02T00:00:00.000Z,0.0427976838314
5068,Neutrino Dollar,USDN,neutrino-dollar,2020-01-30T00:00:00.000Z,1.00351006973
4842,Folgory Coin,FLG,folgory-coin,2019-11-26T00:00:00.000Z,1.40719599817
3742,Chimpion,BNANA,chimpion,2019-02-20T00:00:00.000Z,0.701469085427
3748,Hxro,HXRO,hxro,2019-02-15T00:00:00.000Z,0.146465267244
2662,Haven Protocol,XHV,haven-protocol,2018-04-23T00:00:00.000Z,1.68317316949
5320,Bonorum,BONO,bonorum,2020-03-16T00:00:00.000Z,52.8878815148
3664,AgaveCoin,AGVC,agavecoin,2019-01-04T00:00:00.000Z,0.0559593368899
3154,Davinci Coin,DAC,davinci-coin,2018-08-13T00:00:00.000Z,0.0048118130238
1816,Civic,CVC,civic,2017-07-17T00:00:00.000Z,0.0324905752055
5113,inSure,SURE,insure,2020-01-07T00:00:00.000Z,0.00607543993738
4818,Xensor,XSR,xensor,2019-10-21T00:00:00.000Z,0.015316127942
3829,Nash Exchange,NEX,nash-exchange,2019-04-01T00:00:00.000Z,0.915529851108
1768,AdEx,ADX,adx-net,2017-07-01T00:00:00.000Z,0.231797857608
5103,Tachyon Protocol,IPX,tachyon-protocol,2020-01-03T00:00:00.000Z,0.0798344609846
1660,Monolith,TKN,monolith,2017-05-07T00:00:00.000Z,0.646519298681
4092,Dusk Network,DUSK,dusk-network,2019-07-11T00:00:00.000Z,0.0798290386184
2297,StormX,STMX,stormx,2017-12-20T00:00:00.000Z,0.00288668060708
2043,Cindicator,CND,cindicator,2017-10-13T00:00:00.000Z,0.010413843354
